date,location,video,figure,source
04/11/2023,"France, Paris",https://www.youtube.com/shorts/tK3cRRyt7gY,,
04/11/2023,"Germany, Berlin",https://www.youtube.com/shorts/tK3cRRyt7gY,4,
04/11/2023,"Spain, Barcelona",https://www.youtube.com/shorts/tK3cRRyt7gY,,
04/11/2023,"UK, London",https://www.youtube.com/shorts/tK3cRRyt7gY,5,
04/11/2023,"Spain, Madrid",https://www.youtube.com/shorts/tK3cRRyt7gY,,
04/11/2023,"Canada, Toronto",https://www.youtube.com/shorts/tK3cRRyt7gY,,
12/11/2023,"US, Texas",https://www.youtube.com/shorts/wkbU6OSxWWc,4,
14/11/2023,"Puerto Rico, San Juan",https://www.youtube.com/shorts/X-toU9_HimE,,
16/11/2023*,"US, California, Bay Bridge",https://youtube.com/watch?v=fTt6qk3EpWM,,
16/11/2023*,"Tunisia",https://youtube.com/watch?v=fTt6qk3EpWM,,
16/11/2023*,"US, New York City",https://youtube.com/watch?v=fTt6qk3EpWM,,
16/11/2023*,"US, Pennsylvania, Philadelphia",https://youtube.com/watch?v=fTt6qk3EpWM,,
16/11/2023*,"US, Georgia, Atalanta",https://youtube.com/watch?v=fTt6qk3EpWM,,
16/11/2023*,"US, Texas, Houston",https://youtube.com/watch?v=fTt6qk3EpWM,,
16/11/2023*,"US, Massachusetts, Boston",https://youtube.com/watch?v=fTt6qk3EpWM,,
16/11/2023*,"Canada, Montreal",https://youtube.com/watch?v=fTt6qk3EpWM,,
